url,id,prediction,actual,themse,moves,probability,h
https://lichess.org/dq15P00L#69,0048h,TRUE,FALSE,crushing endgame exposedKing long rookEndgame,Rxc6 Re1+ Rxe1 Rxe1+ Kg2 d3,0.51,1
https://lichess.org/y0n2EkgP#83,00CcK,FALSE,FALSE,crushing endgame long,Rxc3 bxc3 Kxc3 f4 Kd3 fxg3,0.17,
https://lichess.org/VEqrGfJg#91,00WzB,FALSE,TRUE,advancedPawn bishopEndgame crushing endgame promotion quietMove veryLong,Bf1 Ba8 Kd6 e4 Bg2 Kg4 a6 h3 Bh1 e3 Bxa8 exf2 Bf3+ Kg3 a7 f1=Q a8=Q Qxf3,0.15,
https://lichess.org/FrYWZCWt#29,00bmj,FALSE,FALSE,advantage defensiveMove opening pin veryLong,Qb4+ c5 Qc4 Qe7+ Be2 b5 Qd3 Bf5 Qxd4 cxd4,0.13,
https://lichess.org/56G5UTGb#77,00hSW,TRUE,TRUE,advancedPawn advantage endgame master promotion sacrifice veryLong,Nd7 b3 d6 Bxd6 Nxb6 b2 Nc4 b1=Q,0.83,
https://lichess.org/TAw4No8T/black#48,00p93,FALSE,FALSE,crushing long middlegame pin queensideAttack,Ne6 Bxa7+ Kxa7 axb5 Rd2+ Kxd2,0.15,
https://lichess.org/usaxh789/black#122,00slx,FALSE,FALSE,crushing endgame long rookEndgame,Ke7 Ke5 Rg8 Rxe6+ Kf7 f5,0.24,
https://lichess.org/xW9ANDJZ/black#32,016TW,FALSE,FALSE,advantage intermezzo long middlegame,exd5 exd5 Rxh3 Re8+ Kf7 gxh3,0.14,
https://lichess.org/xENaK26y/black#88,019Qi,FALSE,FALSE,crushing endgame long pawnEndgame quietMove,Ke8 Kg7 h5 f5 h4 f6,0.15,
https://lichess.org/oXYJR89c#91,01Epj,TRUE,TRUE,advancedPawn crushing endgame master masterVsMaster promotion queenRookEndgame quietMove veryLong,Kg6 R8f6+ Qxf6 Rxf6+ Kxf6 a4 f5 a3 Kg6 a2 f6 a1=Q,0.77,
https://lichess.org/kq5aKXa2/black#78,01MLC,TRUE,TRUE,advancedPawn crushing endgame rookEndgame veryLong,f6 hxg6 fxe5 Kh5 exf4+ Kxh6 f3 g7 Kf7 Rf1,0.62,
https://lichess.org/iIhKzWva#47,01Tpw,TRUE,TRUE,advancedPawn advantage long middlegame,Ka1 b2+ Ka2 Bxd1 Rxd1 c2,0.84,
https://lichess.org/WNAGgVqn#73,01pSj,TRUE,TRUE,advancedPawn crushing endgame fork long quietMove,Kh2 Nh5 g3 hxg3+ Kg2 gxf2,0.64,
https://lichess.org/dVUJNIdf#91,0234Y,FALSE,TRUE,advancedPawn crushing endgame veryLong,Rd3 Rxd3 Kxd3 b3 Bb1 a3 Kc3 a2 Bxa2 bxa2,0.41,
https://lichess.org/3ji3p5TA#107,02BXF,FALSE,FALSE,crushing defensiveMove endgame quietMove rookEndgame veryLong,Rh4 f5 Kd2 Kg5 Rh8 Kf4 b4 g3 Rh4+ Kf3,0.19,
https://lichess.org/Vjcmkhlj#67,02PHm,FALSE,FALSE,crushing defensiveMove endgame quietMove veryLong,Rg2 Rxg2+ Kxg2 b4 a4 b3 Re1 Bd3,0.38,
