url,id,prediction,actual,themse,moves,probability,
https://lichess.org/VyUHT6ng/black#56,00QHM,FALSE,FALSE,endgame long mate mateIn3,Rxb4 Rc8+ Bd8 Rxd8+ Rf8 Rxf8#,0.284,
https://lichess.org/QtHdcDHe#39,00RwV,FALSE,FALSE,long mate mateIn3 middlegame sacrifice,Qf5 Qc1+ Rxc1 Rxc1+ Bxc1 Re1#,0.254,
https://lichess.org/gofuvC2L#41,00byq,FALSE,FALSE,advantage fork middlegame pin veryLong,Be3 Rxc1+ Rxc1 Rxc1+ Bxc1 Qe1+ Bf1 Qxc1,0.12,
https://lichess.org/mp138SCG#65,00puq,TRUE,FALSE,crushing fork long middlegame,Nf3 Qxe1+ Nxe1 Rxe1+ Qf1 Rxf1+,0.514861111,
https://lichess.org/OVh3Rgxm/black#64,1749,FALSE,FALSE,endgame long mate mateIn3,Rxc4 Ra8+ Rb8 Rxb8+ Rc8 Rxc8#,0.5,
https://lichess.org/2KqyOx6N/black#44,02LtX,TRUE,FALSE,exposedKing long mate mateIn3 middlegame sacrifice,Bxf1 Qd7+ Kf8 Qd8+ Rxd8 Rxd8#,0.80872619,
https://lichess.org/lzeuazSX/black#46,02Ub7,TRUE,TRUE,backRankMate deflection long mate mateIn3 middlegame,Ba6 Qf7+ Kh8 Qxf8+ Rxf8 Rxf8#,0.840333333,
https://lichess.org/BSUrVaM0/black#92,02eRO,FALSE,FALSE,endgame long mate mateIn3,Rd5 Rb8+ Bc8 Rxc8+ Rd8 Rxd8#,0.168333333,
https://lichess.org/ifm4rOck/black#54,02ebU,FALSE,FALSE,endgame long mate mateIn3,Rxd4 Qa8+ Rd8 Qxd8+ Qe8 Qxe8#,0.493,
https://lichess.org/o0QNnghL#45,03RFD,TRUE,TRUE,backRankMate endgame long mate mateIn3 sacrifice,Rxe3 Qxf2+ Kh1 Qf1+ Rxf1 Rxf1#,0.87813148,
https://lichess.org/5M6uMdY9/black#48,03cdR,FALSE,FALSE,discoveredAttack kingsideAttack long mate mateIn3 middlegame,Rxc1 Nde7+ Kf8 Qxd8+ Bxd8 Rxd8#,0.19,
https://lichess.org/oLXs9hCZ/black#82,04qWI,FALSE,FALSE,endgame exposedKing long mate mateIn3,Kg8 Rd8+ Re8 Rxe8+ Bf8 Rexf8#,0.27,
https://lichess.org/QU6WZK7z#45,05Mdg,FALSE,FALSE,endgame long mate mateIn3,Rxf2 Rc1+ Rd1 Rxd1+ Rf1 Rxf1#,0.113333333,
https://lichess.org/Rzb7aps9/black#38,05URT,FALSE,FALSE,advantage deflection exposedKing long middlegame,Rxh6 Qf7+ Kd8 Qxf8+ Qxf8 Rxf8+,0.235,
https://lichess.org/kqennmYu#59,06Ipb,TRUE,TRUE,backRankMate endgame long mate mateIn3 xRayAttack,Qe2 Qg1+ Qe1 Qxe1+ Rxe1 Rxe1#,0.67,
https://lichess.org/2GiOAs2B#55,06NfA,FALSE,FALSE,discoveredAttack kingsideAttack mate mateIn4 middlegame sacrifice veryLong,Rh4 Qe3+ Kh1 Qf3+ exf3 Rxe1+ Bxe1 Rxe1#,0.13,
https://lichess.org/03OrLBES/black#48,06x2K,FALSE,FALSE,endgame long mate mateIn3,Rxd1 Qa8+ Rd8 Qxd8+ Re8 Qxe8#,0.148333333,
https://lichess.org/NM5pkHvI#51,073l1,TRUE,TRUE,backRankMate clearance deflection endgame long mate mateIn3,Qxc6 Re1+ Rf1 Qe3+ Kh1 Rxf1#,0.891666667,
https://lichess.org/AwgWW6In/black#50,07Dtq,TRUE,TRUE,backRankMate endgame long mate mateIn3 sacrifice,Kb8 Qxd6+ Ka8 Qd8+ Rxd8 Rxd8#,0.752253968,
https://lichess.org/ljUoinow#63,07wWc,FALSE,FALSE,endgame long mate mateIn3,Rxe2 Rb1+ Bc1 Rxc1+ Re1 Rxe1#,0.191666667,
https://lichess.org/Yd6bZOW6/black#58,07zHH,TRUE,TRUE,backRankMate fork long mate mateIn3 middlegame sacrifice,Bg3 Qf7+ Kh8 Qf8+ Rxf8 Rxf8#,0.821180542,
https://lichess.org/ydNbxscS#59,083Fr,TRUE,TRUE,backRankMate endgame long mate mateIn3 sacrifice,Be5 Qxf2+ Kh1 Qf1+ Rxf1 Rxf1#,0.840839827,
