url,id,prediction,actual,themse,moves,probability,
https://lichess.org/drahwNdj#95,004LZ,FALSE,TRUE,advancedPawn crushing defensiveMove deflection endgame long promotion,Nxg2 c2+ Ka2 c1=Q Rd7+ Ke2,0.04,0
https://lichess.org/PsMgMg87#45,009De,FALSE,FALSE,advantage exposedKing middlegame veryLong,gxh3 Qxh3 Qf3 Qh2+ Qg2 Be3+ Kf3 Rh3+ Qxh3 Qxh3+,0.16,
https://lichess.org/DSMfbugE#63,00Oo2,FALSE,FALSE,advantage long middlegame,Kc2 Nxb4+ Kb1 Nxa2 Qc5 Nxc3+,0.18,
https://lichess.org/IQW9ts1W#47,00R4l,FALSE,FALSE,advantage defensiveMove endgame long,Rxa7 Rxa7 Rxa7 Re1+ Bf1 Bf5,0.15,
https://lichess.org/AZ4bw2mL/black#68,00kbs,TRUE,TRUE,advantage deflection endgame fork long,Re8 Rxf4 Rxf4 Bxg6+ Kg8 Bxe8,0.66,
https://lichess.org/GKpRcTKl/black#62,00onZ,FALSE,FALSE,advantage long middlegame,Qd7 Rxe5 fxe5 Qxe5+ Kg8 Bb3+,0.13,
https://lichess.org/pyTEOQI7/black#86,00yPS,FALSE,FALSE,crushing discoveredAttack endgame long queenEndgame,Qxg4 Qc8+ Kg7 f6+ Kxf6 Qxg4,0.16,
https://lichess.org/r1xzDowk#55,00ysx,FALSE,FALSE,crushing long middlegame sacrifice,Rh1 f3+ Kf1 g3 Bxh3 Rxh3,0.13,
https://lichess.org/Nvg7dPRn#45,01Brx,FALSE,FALSE,advantage kingsideAttack middlegame sacrifice veryLong,Nf6+ Rxf6 Rxf6 Nh4 Nxh4 Bxg2+ Nxg2 Qxe2,0.11,
https://lichess.org/rcwW2M7E#87,01JEA,FALSE,FALSE,advantage middlegame sacrifice veryLong,c5 Rf1+ Kh2 Rxh3+ gxh3 Rf2+ Qg2+ Rxg2+ Kxg2 Qxb3,0.12,
https://lichess.org/K1dL3noO#55,01R8j,TRUE,TRUE,crushing deflection endgame long,Qa5 Bd5 Rg1 Bxg2+ Rxg2 Qxa1+,0.87,
