url,id,prediction,actual,themse,moves,probability,
https://lichess.org/ZyuTEP3l#39,0066C,FALSE,TRUE,advantage discoveredAttack kingsideAttack long middlegame sacrifice,Bxd5 Bxf2+ Kxf2 Nd4+ Kg1 Nxe6,0.11,
https://lichess.org/ceS0QvtT/black#58,006RM,FALSE,FALSE,crushing long middlegame,Qc5 Qxc5 bxc5 Rxd6 Rxd6 Rxd6,0.12,
https://lichess.org/UdZXrVA5/black#54,008lc,FALSE,FALSE,attraction crushing exposedKing fork long middlegame,Rg7 Qxg7+ Kxg7 Rxe7+ Qxe7 Rxe7+,0.12,
https://lichess.org/cjMxj5uZ/black#44,00ZEW,TRUE,TRUE,advantage discoveredAttack long middlegame pin sacrifice,Re5 Qxh5+ Rxh5 Rxf4+ Ke8 Neg6+,0.67,
https://lichess.org/1NlzMdB5/black#80,00bQA,FALSE,FALSE,crushing exposedKing master middlegame pin skewer veryLong,Ne7 Rxe7+ Kf6 Rxg6+ Kxe7 Rxc6 Kd7 Rc5,0.18,
https://lichess.org/TAw4No8T/black#48,00p93,FALSE,FALSE,crushing long middlegame pin queensideAttack,Ne6 Bxa7+ Kxa7 axb5 Rd2+ Kxd2,0.35,
https://lichess.org/Nvg7dPRn#45,01Brx,FALSE,FALSE,advantage kingsideAttack middlegame sacrifice veryLong,Nf6+ Rxf6 Rxf6 Nh4 Nxh4 Bxg2+ Nxg2 Qxe2,0.14,
https://lichess.org/umgeIwTg#73,01eK0,FALSE,FALSE,crushing endgame fork long,Kf1 Bc4+ Ke1 Bc3+ Kf2 Bxa5,0.19,
https://lichess.org/4FlpqYQT/black#58,01gep,FALSE,FALSE,advantage fork middlegame veryLong,Nxa2 Nf6+ Rxf6 gxf6 Nac3 Rg1+ Kh8 Rg7,0.18,
https://lichess.org/14MuiCrV#67,01iLZ,FALSE,TRUE,attraction crushing discoveredAttack endgame long,Rc3 Rh1+ Kxh1 Bxd5+ Kh2 Rxc3,0.48,
https://lichess.org/ySWi8zV7#67,01nj2,FALSE,FALSE,advantage long middlegame,Rhf1 bxc3+ bxc3 Bxe3+ Rxe3 Rxf1,0.13,
https://lichess.org/vbPUM24k#35,01sC6,FALSE,FALSE,advantage deflection fork long middlegame,bxa3 Qxa3+ Kd2 Nc4+ Ke2 Qxc3,0.18,
https://lichess.org/iAok7RN9#43,024uA,TRUE,TRUE,capturingDefender defensiveMove discoveredAttack equality long middlegame,Nxe5 dxe5 Rxd7 Qxc6 Rxd8+ Kh7,0.75,
https://lichess.org/w25YxVgp#75,0251J,TRUE,TRUE,crushing discoveredAttack exposedKing long middlegame,Kh3 Rg3+ Kh2 Rxf3+ Kg1 Qxc1+,0.8,
https://lichess.org/kqsxsmSq#51,025B9,TRUE,TRUE,crushing discoveredAttack endgame long,Qxa6 Ne2+ Kb1 Nc3+ bxc3 Qxd1+,0.57,
https://lichess.org/cZLQX1Bh/black#62,2.00E+42,TRUE,TRUE,crushing discoveredAttack endgame long,Ng5 Qe8+ Kh7 Nf6+ gxf6 Qxe3,0.84,
https://lichess.org/BXTsRpDm/black#26,02Inh,FALSE,TRUE,attraction crushing discoveredAttack long middlegame,Bxd5 Qb5+ Bc6 Rxd8+ Kxd8 Qb8+,0.23,
https://lichess.org/UQXRMRyO/black#54,02LN4,FALSE,TRUE,advantage discoveredAttack long middlegame,Bc3 Be2 Qh4 Rxd7 Nxd7 Rxd7,0.23,
https://lichess.org/n1mQcQwR#39,02Lda,TRUE,TRUE,advantage discoveredAttack kingsideAttack middlegame sacrifice veryLong,Kg1 Rxe5 Qxe5 Nf3+ gxf3 Bxf2+ Kxf2 Qxe5,0.86,
https://lichess.org/y3EVfN91/black#66,02WUJ,FALSE,FALSE,advantage endgame long skewer,Bxe3 Bf8+ Kg5 Be7+ Kg4 Bxh4,0.12,
https://lichess.org/XwMMvTuU/black#70,02XIJ,FALSE,FALSE,advancedPawn advantage fork middlegame promotion veryLong,Qh3+ Kf2 Rf4 a8=Q+ Kg7 Qab7+ Ne7 Qe3 Rxf3+ Qxf3,0.14,
https://lichess.org/ZTd1Nl2D#59,02c2M,FALSE,FALSE,advancedPawn attraction crushing endgame quietMove veryLong,Rc7 Nxh2 Rf2 Rxf2 Kxf2 Ng4+ Kg1 h2+ Kh1 Rd8 Nd5 cxd5,0.21,
https://lichess.org/F95NGxCG/black#44,02fjz,TRUE,TRUE,advantage defensiveMove discoveredAttack endgame long,Qb5+ Kg1 Rfe8 Bxh7+ Kg7 Qxb5,0.73,
https://lichess.org/0bfpkeuY/black#100,02iak,FALSE,FALSE,advancedPawn crushing endgame exposedKing master masterVsMaster sacrifice veryLong,Kc7 Ra6 Rxf1 b6+ Kd7 Rxa1 Rxa1 b7,0.13,
https://lichess.org/bMo27eYr/black#38,02pbX,FALSE,FALSE,crushing fork long middlegame sacrifice,Bxf8 Qb3+ Rxb3 Bc4+ Kh8 Nf7+,0.2,
https://lichess.org/zfCrg7lc#55,038JP,TRUE,TRUE,deflection discoveredAttack endgame equality long skewer,b3 Qg5 Qd2 Ne2+ Qxe2 Qxc1+,0.8,
https://lichess.org/rLEebE7j#59,039sR,TRUE,TRUE,advancedPawn crushing discoveredAttack endgame long master sacrifice,Nf5 Bxf2+ Kxf2 Qxd3 cxd3 c2,0.88,
https://lichess.org/9O0b9W1J/black#46,03EPr,TRUE,TRUE,crushing discoveredAttack fork middlegame sacrifice veryLong,g6 Rxa4 Rxa4 Qe5 f6 Qe6+ Kg7 Bxf6+ Qxf6 Qd7+,0.59,
https://lichess.org/yqtWDmny/black#84,03JyE,FALSE,FALSE,advancedPawn attraction crushing endgame exposedKing long quietMove,c2 Nf7 Qxf7 exf7+ Kxf7 Qc7+,0.22,
https://lichess.org/5M6uMdY9/black#48,03cdR,TRUE,TRUE,discoveredAttack kingsideAttack long mate mateIn3 middlegame,Rxc1 Nde7+ Kf8 Qxd8+ Bxd8 Rxd8#,0.72,
https://lichess.org/IViaPbrK/black#32,03eOY,FALSE,FALSE,equality intermezzo middlegame veryLong,Qxa2 Nxd3 Nxd3+ Rxd3 Rxc3 Rxd8+ Kg7 bxc3,0.12,
https://lichess.org/FBESL7lt#119,03gc3,TRUE,TRUE,crushing discoveredAttack endgame fork master veryLong,c8=Q Qg3+ Kf5 Nd6+ Ke5 f3+ Kd5 Nxc8 Qxc8 Qf4,0.67,
https://lichess.org/qR7lDoBt/black#32,03iTQ,TRUE,TRUE,crushing discoveredAttack fork opening pin veryLong,Re8 Nxf6+ Nxf6 Qxd8 Rxd8 Bxf6 Bxf6 Rxf6,0.87,
https://lichess.org/ASbl9n4u#63,03owL,FALSE,FALSE,advancedPawn crushing exposedKing long middlegame promotion sacrifice,Qh2 Qa7 Bxe5 Qa1+ Kc2 b1=Q+,0.12,
https://lichess.org/JWoo7ICY#45,03vCU,TRUE,TRUE,advantage discoveredAttack endgame long sacrifice,Re1 Qxe1+ Bxe1 Bf4+ Kd1 Rxd5,0.83,
https://lichess.org/xSKLmCKs#41,03vnS,TRUE,TRUE,advantage discoveredAttack exposedKing long middlegame pin,Be3 exf3 Qxf3 Qxe3+ Qxe3 Rxe3+,0.66,
https://lichess.org/VcZ5LkEC/black#58,040uH,FALSE,FALSE,crushing fork long middlegame sacrifice,Bb3 Bxc5 Bxd1 Bc4+ Qf7 Bxf7+,0.12,
https://lichess.org/oqCrd5vb#67,041Ts,TRUE,TRUE,crushing defensiveMove discoveredAttack endgame long pin,Rh3+ Kg5 Kc2 Na3+ bxa3 Qxe2+,0.85,
https://lichess.org/AQPzuvNM/black#52,044QL,FALSE,FALSE,crushing deflection long middlegame sacrifice,Bc8 Rxf7+ Rxf7 Ne8+ Kh6 Qxf7,0.11,
https://lichess.org/G4dmqMvs/black#56,04BH8,FALSE,FALSE,crushing fork long middlegame,Qf5 Rxg7+ Kf8 Rxf7+ Qxf7 Bxf7,0.12,
https://lichess.org/pV5HmmwK/black#72,0D05g,FALSE,TRUE,crushing discoveredAttack endgame long trappedPiece,Nb6 Nc2 Qc3 b4 axb4 Rxc3,0.08,
https://lichess.org/XlqTzPAj/black#98,0EKGq,FALSE,TRUE,advantage discoveredAttack middlegame quietMove veryLong,Ra3 Rxa3 bxa3 Rxb7 Qa6 Rb1 a2 Ra1,0.08,
https://lichess.org/XIvTpe1U/black#62,0KK3Z,FALSE,TRUE,crushing defensiveMove discoveredAttack endgame long quietMove sacrifice,Qb3 Bh6 Rd4 Qxe5 Rxd1+ Kh2,0.06,1
https://lichess.org/v1wC46lM/black#26,0KZ9l,FALSE,TRUE,advantage discoveredAttack middlegame quietMove veryLong,c5 f4 cxd4 f5 Kg7 fxg6 hxg6 Rxf6,0,1
https://lichess.org/7Zcr4U4B#51,0LEnl,FALSE,TRUE,advantage discoveredAttack middlegame quietMove veryLong,Qxb7 Qh3 Rfe1 Ng4 Nf1 Nf4 Qxe4 Bxc4 Qxf4 Bxf1,0.04,
https://lichess.org/SDZ1q5IB/black#42,0Mv8C,FALSE,TRUE,advantage clearance discoveredAttack long middlegame quietMove sacrifice,Kxg7 Bf1 Qxe1 Qg4+ Kh8 Rxe1,0.07,1
