url,id,prediction,actual,themse,moves,probability,,
https://lichess.org/Prb24UzR/black#64,005f3,FALSE,FALSE,crushing endgame sacrifice veryLong,Rh5 Rxg6+ fxg6 Rxg6+ Kf7 Qg7+ Ke8 Qg8+ Kd7 Qe6+ Kd8 Rg8+,0.14,,
https://lichess.org/ZyuTEP3l#39,0066C,FALSE,FALSE,advantage discoveredAttack kingsideAttack long middlegame sacrifice,Bxd5 Bxf2+ Kxf2 Nd4+ Kg1 Nxe6,0.27,,
https://lichess.org/UdZXrVA5/black#54,008lc,FALSE,TRUE,attraction crushing exposedKing fork long middlegame,Rg7 Qxg7+ Kxg7 Rxe7+ Qxe7 Rxe7+,0.43,,
https://lichess.org/JCYgLgB2#25,00B5A,FALSE,FALSE,advantage hangingPiece long middlegame,Nf3 Qxd5 Nxd4 Qxd4 Bxc6+ bxc6,0.14,,
https://lichess.org/vZo2lFXq/black#54,00GcF,TRUE,TRUE,advantage attraction exposedKing fork long middlegame,Qxe7 Rxe7+ Kxe7 Qe3+ Kf7 Qxh6,0.56,,
https://lichess.org/93xXeKdX#37,00IUT,TRUE,TRUE,crushing fork long middlegame,Rxd4 c5 Qa3 cxd4 Qxe7 Rxe7,0.81,,
https://lichess.org/AebpnUup#61,00LRv,TRUE,TRUE,crushing exposedKing fork long middlegame,f4 Qg3+ Kh1 Qf3+ Qg2 Qxe3,0.86,,
https://lichess.org/DSMfbugE#63,00Oo2,FALSE,FALSE,advantage long middlegame,Kc2 Nxb4+ Kb1 Nxa2 Qc5 Nxc3+,0.46,,
https://lichess.org/ZILz4GAu#53,00R8C,TRUE,TRUE,crushing fork master middlegame veryLong,Bxf3 Qf4 Bxg7+ Kh7 Re5 Nxe5 Bxe5 Bxe5 Re1 Qxf3,0.6,,
https://lichess.org/gofuvC2L#41,00byq,FALSE,TRUE,advantage fork middlegame pin veryLong,Be3 Rxc1+ Rxc1 Rxc1+ Bxc1 Qe1+ Bf1 Qxc1,0.335833333,,
https://lichess.org/hpYXRUS4/black#48,00fN7,TRUE,TRUE,advantage fork middlegame veryLong,Rf2 Rf8+ Ke7 Re8+ Kd6 Bxe4 Rxb2 Kxb2,0.61,,
https://lichess.org/vnNaoc4v/black#70,00gH0,FALSE,FALSE,backRankMate endgame long mate mateIn3 sacrifice,Qxc3 Qf7+ Kh8 Qf8+ Rxf8 Rxf8#,0.217368545,,
https://lichess.org/gGz3J9oc#45,00kCm,FALSE,FALSE,advantage middlegame veryLong,Bb2 Rxe1+ Qxe1 Bxb2 Nc4 Qf6 Nxb2 Qxb2,0.25,,
https://lichess.org/GKpRcTKl/black#62,00onZ,FALSE,FALSE,advantage long middlegame,Qd7 Rxe5 fxe5 Qxe5+ Kg8 Bb3+,0.12,,
https://lichess.org/TAw4No8T/black#48,00p93,FALSE,FALSE,crushing long middlegame pin queensideAttack,Ne6 Bxa7+ Kxa7 axb5 Rd2+ Kxd2,0.11,,
https://lichess.org/1B6oNZCt/black#44,00pYK,FALSE,FALSE,equality kingsideAttack middlegame trappedPiece veryLong,Rf8 Qh7+ Kf7 gxf5 Ke8 fxg6 Rxf1+ Kxf1,0.17,,
https://lichess.org/mp138SCG#65,00puq,FALSE,TRUE,crushing fork long middlegame,Nf3 Qxe1+ Nxe1 Rxe1+ Qf1 Rxf1+,0.13,,
https://lichess.org/gyFeQsOE#35,00sJ9,FALSE,TRUE,advantage attraction fork middlegame sacrifice veryLong,Rg3 Re1+ Kh2 Rxc1 Rxc1 Qh6+ Kg1 Qxc1+,0.44,,
https://lichess.org/NIjw0abF/black#54,00vXZ,FALSE,TRUE,advantage fork long middlegame,Rc2 Qg6+ Ng7 Qxc2 Rxf3 Rxf3,0.25,,
https://lichess.org/lFAuKAq6#35,0119G,TRUE,TRUE,crushing fork long middlegame,Kxb2 Rb8+ Kc1 Qe3+ Rd2 Qxc3,0.76,,
https://lichess.org/vKJUTFGf/black#70,011l5,TRUE,TRUE,crushing endgame fork long,Rd8 Bxf6+ Kf8 Bxd8 Bxd7 Bxc7,0.77,,
https://lichess.org/U6CzZYMP#21,0122Z,TRUE,TRUE,advantage fork long middlegame sacrifice,Ke3 f4+ Kxe4 Bf5+ Kf3 Qh4,0.63,,
https://lichess.org/fJcBht8L#61,012kM,FALSE,FALSE,crushing endgame long,Qxg5 Qd3+ Kc1 Qxf1+ Rxf1 hxg5,0.15,,
https://lichess.org/ECqMqbgq/black#50,01DBx,FALSE,TRUE,crushing endgame fork long,hxg6 Qg5 Qxg2+ Qxg2 Rxg2 Kxg2,0.03,,
https://lichess.org/pOyJVJho/black#46,01DwE,TRUE,TRUE,advantage clearance fork long middlegame,Qf5 Qxf5 gxf5 Nd2 f4 Rf3,0.61,,
https://lichess.org/oXYJR89c#91,01Epj,FALSE,FALSE,advancedPawn crushing endgame master masterVsMaster promotion queenRookEndgame quietMove veryLong,Kg6 R8f6+ Qxf6 Rxf6+ Kxf6 a4 f5 a3 Kg6 a2 f6 a1=Q,0.12,,
https://lichess.org/xBiZzLMA#35,01GHp,FALSE,FALSE,advantage clearance defensiveMove long middlegame,Kh1 Rxf1+ Nxf1 Rf8 Ng3 Re8,0.12,,
https://lichess.org/ajg0odGo#75,01ICu,FALSE,FALSE,crushing defensiveMove endgame long,Kf1 Rxf2+ Kg1 Ne2+ Kh1 Nd4,0.28,,
https://lichess.org/rcwW2M7E#87,01JEA,FALSE,FALSE,advantage middlegame sacrifice veryLong,c5 Rf1+ Kh2 Rxh3+ gxh3 Rf2+ Qg2+ Rxg2+ Kxg2 Qxb3,0.16,,
https://lichess.org/5ZyvaDxe#69,01Mct,FALSE,FALSE,advantage long middlegame,Qa3 Qf4 Qg3 Qxe4 R6c4 Qxd5,0.17,,
https://lichess.org/SlWbv59O/black#62,01N1Y,FALSE,FALSE,advantage endgame long,Rc6 Bxe5+ Qxe5 Rxe5 Rxc4 Rxe8+,0.35,,
https://lichess.org/kwsNUNzr#61,01Ovv,FALSE,FALSE,advantage endgame veryLong,Rxa8 Rxa8+ Kb2 Qa7 Qxb4 Qa2+ Kc3 Rc8+,0.16,,
https://lichess.org/xpzYKWtP/black#70,01QsE,TRUE,TRUE,crushing endgame exposedKing fork long,c6 Nc4 Rhh8 Nb6+ Kb7 Nxc8,0.72,,
https://lichess.org/jHx7YBjE/black#42,01TDS,FALSE,FALSE,advantage clearance endgame long,Rxa2 Rxa2 Nxa2 Ra1 Rf8 Rxa2,0.12,,
https://lichess.org/iIhKzWva#47,01Tpw,FALSE,FALSE,advancedPawn advantage long middlegame,Ka1 b2+ Ka2 Bxd1 Rxd1 c2,0.2,,
https://lichess.org/LlFzgUtg/black#40,01VXI,FALSE,FALSE,attraction crushing middlegame pin veryLong,Qg4 Qh8+ Ng8 Ba3+ Re7 Bxe7+ Kxe7 Qxg7+,0.13,,
https://lichess.org/umgeIwTg#73,01eK0,TRUE,TRUE,crushing endgame fork long,Kf1 Bc4+ Ke1 Bc3+ Kf2 Bxa5,0.81,,
https://lichess.org/4FlpqYQT/black#58,01gep,TRUE,TRUE,advantage fork middlegame veryLong,Nxa2 Nf6+ Rxf6 gxf6 Nac3 Rg1+ Kh8 Rg7,0.82,,
https://lichess.org/37LQpc1O/black#40,01lAW,FALSE,TRUE,crushing exposedKing fork middlegame sacrifice veryLong,Qd7 Nd6+ Nxd6 exd6 Bxd4+ Qxd4 cxd4 Rae1+ Qe6 Rxe6+,0.23,,
https://lichess.org/WNAGgVqn#73,01pSj,FALSE,TRUE,advancedPawn crushing endgame fork long quietMove,Kh2 Nh5 g3 hxg3+ Kg2 gxf2,0.26,,
https://lichess.org/rrYCZMax#35,01qSx,FALSE,TRUE,advantage fork long middlegame,Qxd5 Qxd5 Bxd5 Rd4 Bxb7 Bxb7,0.08,,
https://lichess.org/vbPUM24k#35,01sC6,TRUE,TRUE,advantage deflection fork long middlegame,bxa3 Qxa3+ Kd2 Nc4+ Ke2 Qxc3,0.84,,
https://lichess.org/xSDjaF7E#51,023sA,FALSE,TRUE,backRankMate fork long mate mateIn3 middlegame sacrifice,Qxd5 Qf2+ Kh1 Qf1+ Rxf1 Rxf1#,0,0,
https://lichess.org/Yd6bZOW6/black#58,07zHH,FALSE,TRUE,backRankMate fork long mate mateIn3 middlegame sacrifice,Bg3 Qf7+ Kh8 Qf8+ Rxf8 Rxf8#,0,,
https://lichess.org/S1UtTF3W#79,08j1w,FALSE,TRUE,crushing deflection exposedKing fork master middlegame pin veryLong,Kh2 Qd6+ Qg3 Rh1+ Kxh1 Qxg3 Ra2 Qf3+,0.005,0,fork with no effect
https://lichess.org/NB6nJuuZ/black#20,09uC7,FALSE,TRUE,advantage fork long opening,Ne4 Qh5+ Kf6 d3 exf5 dxc4,0.09,0,main threat not because of fork
https://lichess.org/a234zrAB#85,0AlyW,FALSE,TRUE,crushing endgame fork pin quietMove veryLong,Qb6 Qb1+ Ka3 Qc1+ Rb2 Re1 Qxa5 Re2 Qc3 Qxc3,0.09,0.5,not clear
https://lichess.org/2NodPKnT#135,0Bl14,FALSE,TRUE,advantage endgame exposedKing fork pin quietMove veryLong,Ne3 Ra8 Nf5 Rf8 Re5 Bf4 Rxc5 Be3+ Kf3 Bxc5,0.08,,
https://lichess.org/d3ByvXNN#67,0G2yv,FALSE,TRUE,endgame fork long mate mateIn3,fxe7 Rd1+ Re1 Rxe1+ Rf1 Rexf1#,0,,
https://lichess.org/K4cdypRF#13,0JPcx,FALSE,TRUE,advantage attackingF2F7 discoveredAttack fork opening veryLong,h3 Qh4 g3 Bxg3 Nf3 Nxf2 Nxh4 Nxd1+ Kxd1 Bxh4,0.08,,
https://lichess.org/DWNBhXKM/black#50,0JdtN,FALSE,TRUE,crushing defensiveMove fork hangingPiece middlegame veryLong,Rxg4 Qxh8+ Kd7 f3 Rxg2+ Kxg2 Qg6+ Kf2 Qg3+ Ke2 Qg2+ Ke1,0.09,,
https://lichess.org/HKsnvsqy/black#56,0KbvN,FALSE,TRUE,deflection endgame fork long mate mateIn3,Qc1 Qe8+ Bf8 Qxf7+ Kh8 Qxf8#,0.09,,
https://lichess.org/WyrGDgmI/black#38,0NpLj,FALSE,TRUE,anastasiaMate attraction fork long mate mateIn3 middlegame sacrifice,Qxb2 Ne7+ Kh8 Qxh7+ Kxh7 Rh4#,0,,
https://lichess.org/oQ6cht4Z/black#62,0PcTQ,FALSE,TRUE,backRankMate endgame fork long mate mateIn3 sacrifice,Qxe5 Qxf7+ Kh8 Qf8+ Rxf8 Rxf8#,0.03991318,,
https://lichess.org/cDiKWyCI/black#40,0UOWI,FALSE,TRUE,backRankMate fork long mate mateIn3 middlegame sacrifice,Qxd4 Qe7+ Kg8 Qe8+ Rxe8 Rxe8#,0,,
https://lichess.org/ZxLiKoMK#57,0WFad,FALSE,TRUE,backRankMate fork mate mateIn4 middlegame sacrifice veryLong,d5 Qe3+ Kh1 Qe1+ Rxe1 Rxe1+ Rxe1 Rxe1#,0,,
https://lichess.org/IDl1rbUV/black#36,0X0bi,FALSE,TRUE,backRankMate fork long mate mateIn3 middlegame sacrifice,Rh6 Qf7+ Kh8 Qf8+ Rxf8 Rxf8#,0.006666667,,
