url,id,prediction,actual,themse,moves,probability,manual
https://lichess.org/TfRvsd3p/black#84,002xh,FALSE,FALSE,crushing endgame long,Nh4 Kxb5 Ng2 Ka6 Ne3 Kb7,0.15,
https://lichess.org/JCYgLgB2#25,00B5A,FALSE,TRUE,advantage hangingPiece long middlegame,Nf3 Qxd5 Nxd4 Qxd4 Bxc6+ bxc6,0.4,
https://lichess.org/u5HjwjcV/black#124,00EUu,FALSE,FALSE,crushing defensiveMove endgame long,Rh6+ Kxh6 c1=Q+ g5 Qc6+ Kg7,0.13,
https://lichess.org/gOM7Eh5H#49,01BrE,FALSE,FALSE,advantage middlegame trappedPiece veryLong,Ra6 Qxb5 Ra4 Ra8 Rc4+ Qxc4 Qxb7+ Kxb7,0.14,
https://lichess.org/kwsNUNzr#61,01Ovv,FALSE,FALSE,advantage endgame veryLong,Rxa8 Rxa8+ Kb2 Qa7 Qxb4 Qa2+ Kc3 Rc8+,0.28,
https://lichess.org/iAok7RN9#43,024uA,FALSE,FALSE,capturingDefender defensiveMove discoveredAttack equality long middlegame,Nxe5 dxe5 Rxd7 Qxc6 Rxd8+ Kh7,0.22,
https://lichess.org/WTFLBo2s/black#38,02Ggp,FALSE,FALSE,advantage long middlegame,Ne4 Nxd4 Nf2+ Kg1 Nxg4 Nxc6,0.15,
https://lichess.org/P3OJ3gEv#41,02Grv,FALSE,TRUE,advantage hangingPiece long middlegame,Bf5 Rxf5 Qxf5 Qxf5 Rxf5 Bxf5,0,1
https://lichess.org/D9f2fvLt#39,02VMp,FALSE,TRUE,advantage defensiveMove hangingPiece long middlegame,Rxd6 Qxd6 Rd1 Qc5 Qxg7 Ng6,0.36,
https://lichess.org/n5JaYhRz#69,02bax,TRUE,TRUE,advancedPawn crushing endgame hangingPiece long,Rc7+ Kxc7 a7 c4+ Kxd4 g2,0.73,
https://lichess.org/ULzPiw8S#55,02jqC,TRUE,TRUE,crushing hangingPiece long middlegame,Rxb8 Qxc5+ Qf2 Qxf2+ Rxf2 Rxb8,0.89,
https://lichess.org/zgQYns0V/black#30,034My,FALSE,FALSE,advantage defensiveMove long middlegame,Bxc3 bxc3 Rb8 Kd2 Rb2+ Ke1,0.11,
https://lichess.org/uvIGsVkn/black#42,03elI,FALSE,FALSE,equality long middlegame,Nxf3 Bxf8 Qh4 Bd6 Nxh2 Bxh2,0.16,
https://lichess.org/0gEjnzS5#35,03lEu,FALSE,TRUE,crushing hangingPiece kingsideAttack long middlegame,Rxe3 Qxe3+ Kf1 Nxd3 Qxd3 Qxd3+,0.06,1
https://lichess.org/zQJubHWe#21,04ajJ,FALSE,FALSE,advantage long opening,Nxc7+ Qxc7 Bxf7+ Kd8 Bg5+ Kc8,0.17,
https://lichess.org/0qx8yoGA#75,04uMY,FALSE,FALSE,advantage endgame long,Ne6 fxe6 Rxe6 Rxe7 Rxe7+ Bxe7,0.11,
https://lichess.org/phUO8KJL#43,056LQ,FALSE,FALSE,advantage long middlegame,fxe5 Qxg5 Rxa8 Bxa8 Qxg5 hxg5,0.2,
