url,id,prediction,actual,themse,moves,probability,manual
https://lichess.org/dq15P00L#69,0048h,FALSE,FALSE,crushing endgame exposedKing long rookEndgame,Rxc6 Re1+ Rxe1 Rxe1+ Kg2 d3,0.24,
https://lichess.org/Prb24UzR/black#64,005f3,FALSE,FALSE,crushing endgame sacrifice veryLong,Rh5 Rxg6+ fxg6 Rxg6+ Kf7 Qg7+ Ke8 Qg8+ Kd7 Qe6+ Kd8 Rg8+,0.11,
https://lichess.org/ZyuTEP3l#39,0066C,FALSE,TRUE,advantage discoveredAttack kingsideAttack long middlegame sacrifice,Bxd5 Bxf2+ Kxf2 Nd4+ Kg1 Nxe6,0.09,
https://lichess.org/UdZXrVA5/black#54,008lc,FALSE,FALSE,attraction crushing exposedKing fork long middlegame,Rg7 Qxg7+ Kxg7 Rxe7+ Qxe7 Rxe7+,0.35,
https://lichess.org/PsMgMg87#45,009De,FALSE,FALSE,advantage exposedKing middlegame veryLong,gxh3 Qxh3 Qf3 Qh2+ Qg2 Be3+ Kf3 Rh3+ Qxh3 Qxh3+,0.44,
https://lichess.org/ANKrgoJi#55,00BrZ,TRUE,TRUE,attraction kingsideAttack long mate mateIn3 middlegame sacrifice,Qd2 Rxh2+ Kxh2 Rh8+ Qh6 Rxh6#,0.5975,
https://lichess.org/77hjhVfM/black#44,00J1t,TRUE,TRUE,exposedKing kingsideAttack long mate mateIn3 middlegame,Bxg7 Qg5 Rg8 Qh5+ Bh6+ Qxh6#,0.66,
https://lichess.org/IQW9ts1W#47,00R4l,FALSE,FALSE,advantage defensiveMove endgame long,Rxa7 Rxa7 Rxa7 Re1+ Bf1 Bf5,0.12,
https://lichess.org/Vf4zaDk5/black#64,00d5g,FALSE,FALSE,endgame long mate mateIn3,Kh8 Rh1+ Bh3+ Rxh3+ Rh5 Rxh5#,0.12,
https://lichess.org/AZ4bw2mL/black#68,00kbs,FALSE,FALSE,advantage deflection endgame fork long,Re8 Rxf4 Rxf4 Bxg6+ Kg8 Bxe8,0.16,
https://lichess.org/GKpRcTKl/black#62,00onZ,FALSE,FALSE,advantage long middlegame,Qd7 Rxe5 fxe5 Qxe5+ Kg8 Bb3+,0.12,
https://lichess.org/1B6oNZCt/black#44,00pYK,TRUE,TRUE,equality kingsideAttack middlegame trappedPiece veryLong,Rf8 Qh7+ Kf7 gxf5 Ke8 fxg6 Rxf1+ Kxf1,0.73,
https://lichess.org/mp138SCG#65,00puq,FALSE,FALSE,crushing fork long middlegame,Nf3 Qxe1+ Nxe1 Rxe1+ Qf1 Rxf1+,0.246,
https://lichess.org/seEUcuvw/black#72,01B5q,FALSE,FALSE,attraction doubleCheck long mate mateIn3 middlegame pin sacrifice,Nxd5 Qg7+ Kxg7 Nf5+ Kg8 Nh6#,0.3,
https://lichess.org/Nvg7dPRn#45,01Brx,TRUE,TRUE,advantage kingsideAttack middlegame sacrifice veryLong,Nf6+ Rxf6 Rxf6 Nh4 Nxh4 Bxg2+ Nxg2 Qxe2,0.79,
https://lichess.org/vrK220Qh#43,01HXy,TRUE,TRUE,advantage kingsideAttack middlegame veryLong,g7 Nxe4 Bxe4 Bxf2+ Rxf2 Qxf2+ Kh1 Qe1+,0.7,
https://lichess.org/gX1AOHfA/black#38,01JaZ,FALSE,FALSE,crushing long middlegame,Rxe6 Qf5 g6 Qxe6+ Qxe6 Rxe6,0.22,
