url,id,prediction,actual,themse,moves,probability,
https://lichess.org/Ynra1LLE/black#34,006XF,TRUE,TRUE,advantage long middlegame pin,Be4 Qf7+ Kh7 Rf6 Bxf6 Qxd7,0.63,1
https://lichess.org/sr8OoFsx/black#36,00CXr,FALSE,FALSE,advantage long middlegame sacrifice,b6 Qd5 Nxf3+ gxf3 Rc8 Bxd6,0.11,
https://lichess.org/u5HjwjcV/black#124,00EUu,FALSE,FALSE,crushing defensiveMove endgame long,Rh6+ Kxh6 c1=Q+ g5 Qc6+ Kg7,0.13,
https://lichess.org/W6ARHCTL#95,00HaO,FALSE,FALSE,crushing endgame long rookEndgame,Kf5 Rxe3 Kg5 Rb3 Re6 Rb5+,0.18,
https://lichess.org/jUnUTglG/black#44,00KO5,FALSE,FALSE,advantage endgame long,Qxh2 Rh1 Qc2+ Qxc2 Rxc2 Kxc2,0.12,
https://lichess.org/71TDmfZz#29,00QqI,FALSE,FALSE,advantage long middlegame,Nxe4 Bd5 Ng5+ Qxg5 Bxg5 Bxb7,0.11,
https://lichess.org/IQW9ts1W#47,00R4l,FALSE,FALSE,advantage defensiveMove endgame long,Rxa7 Rxa7 Rxa7 Re1+ Bf1 Bf5,0.11,
https://lichess.org/DU4WJjPm/black#44,00WiB,FALSE,FALSE,advantage long master middlegame,Rxe2 Qh6 exf6 gxf6 Qxf6 Rxf6,0.24,
https://lichess.org/cjMxj5uZ/black#44,00ZEW,TRUE,TRUE,advantage discoveredAttack long middlegame pin sacrifice,Re5 Qxh5+ Rxh5 Rxf4+ Ke8 Neg6+,0.7,
https://lichess.org/1NlzMdB5/black#80,00bQA,TRUE,TRUE,crushing exposedKing master middlegame pin skewer veryLong,Ne7 Rxe7+ Kf6 Rxg6+ Kxe7 Rxc6 Kd7 Rc5,0.61,
https://lichess.org/FrYWZCWt#29,00bmj,FALSE,TRUE,advantage defensiveMove opening pin veryLong,Qb4+ c5 Qc4 Qe7+ Be2 b5 Qd3 Bf5 Qxd4 cxd4,0.17,
https://lichess.org/gofuvC2L#41,00byq,TRUE,TRUE,advantage fork middlegame pin veryLong,Be3 Rxc1+ Rxc1 Rxc1+ Bxc1 Qe1+ Bf1 Qxc1,0.69,
https://lichess.org/GKpRcTKl/black#62,00onZ,FALSE,FALSE,advantage long middlegame,Qd7 Rxe5 fxe5 Qxe5+ Kg8 Bb3+,0.12,
https://lichess.org/TAw4No8T/black#48,00p93,TRUE,TRUE,crushing long middlegame pin queensideAttack,Ne6 Bxa7+ Kxa7 axb5 Rd2+ Kxd2,0.67,
https://lichess.org/gyFeQsOE#35,00sJ9,FALSE,FALSE,advantage attraction fork middlegame sacrifice veryLong,Rg3 Re1+ Kh2 Rxc1 Rxc1 Qh6+ Kg1 Qxc1+,0.12,
https://lichess.org/NIjw0abF/black#54,00vXZ,FALSE,FALSE,advantage fork long middlegame,Rc2 Qg6+ Ng7 Qxc2 Rxf3 Rxf3,0.12,
https://lichess.org/Pci9z8kp/black#48,00xmm,TRUE,TRUE,advantage long middlegame pin,Bxd6 exd6+ Qxd6 Bf4 Qxf4 gxf4,0.51,
https://lichess.org/r1xzDowk#55,00ysx,FALSE,FALSE,crushing long middlegame sacrifice,Rh1 f3+ Kf1 g3 Bxh3 Rxh3,0.16,
https://lichess.org/alW9L2kD/black#40,0199s,FALSE,FALSE,crushing defensiveMove kingsideAttack long middlegame sacrifice,Qe8 Rxh6+ gxh6 Qxh6+ Kg8 Rh1,0.12,
https://lichess.org/4l61WKzQ#33,019B3,FALSE,FALSE,advantage long middlegame,Nxe6 Rxf1 Rxf1 dxe3 Qxe3 Qxe6,0.12,
https://lichess.org/DjgDrbsP/black#36,01Aty,TRUE,TRUE,advantage middlegame pin sacrifice veryLong,Qxf4 Rf1 Qe5 Rxf5 Qxf5 Bg4 Qxg4 Qxg4+,0.78,
https://lichess.org/seEUcuvw/black#72,01B5q,TRUE,TRUE,attraction doubleCheck long mate mateIn3 middlegame pin sacrifice,Nxd5 Qg7+ Kxg7 Nf5+ Kg8 Nh6#,0.61,
https://lichess.org/ECqMqbgq/black#50,01DBx,FALSE,FALSE,crushing endgame fork long,hxg6 Qg5 Qxg2+ Qxg2 Rxg2 Kxg2,0.19,
https://lichess.org/pOyJVJho/black#46,01DwE,FALSE,FALSE,advantage clearance fork long middlegame,Qf5 Qxf5 gxf5 Nd2 f4 Rf3,0.14,
https://lichess.org/xBiZzLMA#35,01GHp,FALSE,FALSE,advantage clearance defensiveMove long middlegame,Kh1 Rxf1+ Nxf1 Rf8 Ng3 Re8,0.18,
https://lichess.org/gX1AOHfA/black#38,01JaZ,FALSE,FALSE,crushing long middlegame,Rxe6 Qf5 g6 Qxe6+ Qxe6 Rxe6,0.18,
https://lichess.org/RJr1Csyx#47,01SlO,FALSE,FALSE,advantage long middlegame trappedPiece,Rfe1 Bb5 Bxf6 gxf6 Qxd5 Rxd5,0.18,
https://lichess.org/jHx7YBjE/black#42,01TDS,FALSE,FALSE,advantage clearance endgame long,Rxa2 Rxa2 Nxa2 Ra1 Rf8 Rxa2,0.11,
https://lichess.org/W7oprEjU/black#60,01UT5,TRUE,TRUE,equality long middlegame pin,Qe7 Bxg6 Qc5+ Kf1 Rxg6 Qxg6,0.68,
https://lichess.org/LlFzgUtg/black#40,01VXI,TRUE,TRUE,attraction crushing middlegame pin veryLong,Qg4 Qh8+ Ng8 Ba3+ Re7 Bxe7+ Kxe7 Qxg7+,0.72,
https://lichess.org/90JQSZJo/black#66,01Vce,TRUE,TRUE,long mate mateIn3 middlegame pin,Kh4 Be1+ Qg3 Qg5+ Kh3 Qxg3#,0.64,
https://lichess.org/ySWi8zV7#67,01nj2,FALSE,FALSE,advantage long middlegame,Rhf1 bxc3+ bxc3 Bxe3+ Rxe3 Rxf1,0.12,
https://lichess.org/YtQdfMJp/black#56,01xkD,TRUE,TRUE,attraction crushing endgame long pin sacrifice,Rac8 Rxc3 Rxc3 Bb2 Kf8 Bxc3,0.625,
https://lichess.org/OtWUxNbC/black#46,02gI7,TRUE,TRUE,crushing endgame long pin,Rxa2 Qf6 Qxf2+ Qxf2 Rxf2 Kxf2,0.7,
https://lichess.org/gxxgVAVa#65,02ghB,TRUE,TRUE,advantage long middlegame pin,Rc1 Qe2 Rxd1 Rxd1 Qxd1 Qxd1,0.71,
https://lichess.org/jmkblURh#73,02gnD,TRUE,TRUE,advantage endgame pin veryLong,Bb4 Qa1+ Qg1 Rf1 Bc5 Rxg1+ Bxg1 Qxa5,0.76,
https://lichess.org/bBLaJrEf/black#70,02mlr,TRUE,TRUE,crushing exposedKing middlegame pin veryLong,Rg8 Qf6+ Qf7 Qd6+ Kg7 Re7 Rxe7 Rxe7,0.82,
https://lichess.org/pihAzJje/black#52,02rnR,TRUE,TRUE,crushing long middlegame pin,Qxd5 Qg4+ Qe6 Bf5 Rc5 Bxe6+,0.85,
https://lichess.org/PXHRhBxU/black#66,02vjO,TRUE,TRUE,advancedPawn crushing endgame long pin,Bd5 c7 Rc8 Rxb4 Kf8 Rb8,0.79,
https://lichess.org/W8lnQSmA#51,02yxb,TRUE,TRUE,attackingF2F7 crushing intermezzo middlegame pin veryLong,Rxh8 Qxf2+ Kd1 Rxh8 Qxd6 Rd8 Qxd8+ Kxd8,0.72,
https://lichess.org/YcsHH0gA#59,03aCz,FALSE,TRUE,advantage endgame fork pin veryLong,Rxd3 Rxd3 Rxd3 Qc1+ Ka2 Qxc4+ Rb3 Rb8,0.03,
https://lichess.org/lIKYwACn#25,04WpL,FALSE,TRUE,advantage fork opening pin veryLong,Ke2 Bg4+ Kd2 Qb4+ Kxc2 Bxd1+ Rxd1 Bxd6,0.06,
https://lichess.org/kY5pwVa7/black#40,04bXA,FALSE,TRUE,advantage long middlegame pin,Qxc2 Rfc1 Qg6 Qxc6 Qxc6 Rxc6,0.03,
https://lichess.org/WdOSPXDz/black#44,7400,FALSE,TRUE,crushing deflection interference kingsideAttack middlegame pin veryLong,Bf6 Nxf6+ Rxf6 Qh7+ Kf8 Qh8+ Ke7 Qxg7+,0.01,
https://lichess.org/S1UtTF3W#79,08j1w,FALSE,TRUE,crushing deflection exposedKing fork master middlegame pin veryLong,Kh2 Qd6+ Qg3 Rh1+ Kxh1 Qxg3 Ra2 Qf3+,0.032,
https://lichess.org/hOvfPZKY/black#44,093co,FALSE,TRUE,crushing discoveredAttack long middlegame pin sacrifice,dxc5 Nd5+ exd5 exd5+ Ne5 d6+,0.08,
https://lichess.org/69NRXAYJ#61,09LYf,FALSE,TRUE,crushing endgame long pin,Re2 Rxe4 Qb7+ Re7 Qxe7+ Bxe7,0.09,
https://lichess.org/oPMMTyiN#103,0BjAV,FALSE,TRUE,advancedPawn endgame exposedKing mate mateIn5 pin veryLong,a7 g2+ Kh2 Be5+ Kg1 Bd4+ Rf2 Kg3 a8=Q h2#,0.08,
https://lichess.org/T09YRku7#43,0K66G,FALSE,TRUE,attraction crushing fork long middlegame pin,dxe5 Rxc1+ Rxc1 Qxe3+ Qf2 Qxc1+,0.01,
