url,id,prediction,actual,themse,moves,probability,
https://lichess.org/mXf4gFYU/black#54,0078T,TRUE,TRUE,attraction crushing defensiveMove exposedKing long middlegame queensideAttack sacrifice,dxe3 Rxb7+ Kxb7 Qf7+ Kb8 Be7,0.71,1
https://lichess.org/UdZXrVA5/black#54,008lc,FALSE,FALSE,attraction crushing exposedKing fork long middlegame,Rg7 Qxg7+ Kxg7 Rxe7+ Qxe7 Rxe7+,0.11,
https://lichess.org/sr8OoFsx/black#36,00CXr,TRUE,TRUE,advantage long middlegame sacrifice,b6 Qd5 Nxf3+ gxf3 Rc8 Bxd6,0.7,
https://lichess.org/vZo2lFXq/black#54,00GcF,FALSE,FALSE,advantage attraction exposedKing fork long middlegame,Qxe7 Rxe7+ Kxe7 Qe3+ Kf7 Qxh6,0.15,
https://lichess.org/ZILz4GAu#53,00R8C,FALSE,FALSE,crushing fork master middlegame veryLong,Bxf3 Qf4 Bxg7+ Kh7 Re5 Nxe5 Bxe5 Bxe5 Re1 Qxf3,0.15,
https://lichess.org/1DyqIpsd#59,00Rdf,FALSE,FALSE,advantage exposedKing fork long middlegame,cxb6 Rxd4 exd4 Nxd4+ Kb2 Nxb3,0.14,
https://lichess.org/6Gi4gAvw/black#68,00W5B,FALSE,TRUE,advantage attraction endgame long pin sacrifice,Rxd2 Rxd5 Rxd5 Bb3 Kf8 Bxd5,0.29,
https://lichess.org/cjMxj5uZ/black#44,00ZEW,TRUE,TRUE,advantage discoveredAttack long middlegame pin sacrifice,Re5 Qxh5+ Rxh5 Rxf4+ Ke8 Neg6+,0.62,
https://lichess.org/56G5UTGb#77,00hSW,TRUE,TRUE,advancedPawn advantage endgame master promotion sacrifice veryLong,Nd7 b3 d6 Bxd6 Nxb6 b2 Nc4 b1=Q,0.69,
https://lichess.org/SvujXQY8#73,00jHX,FALSE,FALSE,advantage fork long middlegame,Nf4 Bxe5 Bxe5 Nf3+ Kg2 Nxe5,0.13,
https://lichess.org/AZ4bw2mL/black#68,00kbs,FALSE,FALSE,advantage deflection endgame fork long,Re8 Rxf4 Rxf4 Bxg6+ Kg8 Bxe8,0.11,
https://lichess.org/GKpRcTKl/black#62,00onZ,FALSE,FALSE,advantage long middlegame,Qd7 Rxe5 fxe5 Qxe5+ Kg8 Bb3+,0.19,
https://lichess.org/gyFeQsOE#35,00sJ9,TRUE,TRUE,advantage attraction fork middlegame sacrifice veryLong,Rg3 Re1+ Kh2 Rxc1 Rxc1 Qh6+ Kg1 Qxc1+,0.71,
https://lichess.org/d2IhwIPS/black#98,00ueM,FALSE,FALSE,advancedPawn endgame long mate mateIn3 promotion,a2 Rxd8+ Kxd8 g7 a1=Q g8=Q#,0.18,
https://lichess.org/QOaRlqny#59,00vjg,FALSE,FALSE,advantage attraction fork long middlegame,Be3 Rxc2 Rxc2 Qd1+ Kh2 Qxc2,0.22,
https://lichess.org/r1xzDowk#55,00ysx,FALSE,TRUE,crushing long middlegame sacrifice,Rh1 f3+ Kf1 g3 Bxh3 Rxh3,0.02,?
https://lichess.org/U6CzZYMP#21,0122Z,FALSE,TRUE,advantage fork long middlegame sacrifice,Ke3 f4+ Kxe4 Bf5+ Kf3 Qh4,0.16,
https://lichess.org/alW9L2kD/black#40,0199s,FALSE,TRUE,crushing defensiveMove kingsideAttack long middlegame sacrifice,Qe8 Rxh6+ gxh6 Qxh6+ Kg8 Rh1,0.43652381,
https://lichess.org/HlEcGBSh/black#64,019PB,TRUE,TRUE,advantage long middlegame sacrifice,Rxb3 Rxe5 fxe5 Qg5+ Kh8 Qf6+,0.74,
https://lichess.org/pCBDwbPH#89,019gx,TRUE,TRUE,attraction endgame long mate mateIn3 rookEndgame sacrifice,Ka5 Ra4+ Kxa4 Ra8+ Ra7 Rxa7#,0.73,
https://lichess.org/DjgDrbsP/black#36,01Aty,FALSE,TRUE,advantage middlegame pin sacrifice veryLong,Qxf4 Rf1 Qe5 Rxf5 Qxf5 Bg4 Qxg4 Qxg4+,0.24,
https://lichess.org/Nvg7dPRn#45,01Brx,TRUE,TRUE,advantage kingsideAttack middlegame sacrifice veryLong,Nf6+ Rxf6 Rxf6 Nh4 Nxh4 Bxg2+ Nxg2 Qxe2,0.57,
https://lichess.org/OAuPLlZG#89,01DJq,FALSE,FALSE,attraction crushing endgame fork long,Re1 Rxe1+ Kxe1 Bc3+ Kd1 Bxa5,0.14,
https://lichess.org/oXYJR89c#91,01Epj,FALSE,FALSE,advancedPawn crushing endgame master masterVsMaster promotion queenRookEndgame quietMove veryLong,Kg6 R8f6+ Qxf6 Rxf6+ Kxf6 a4 f5 a3 Kg6 a2 f6 a1=Q,0.11,
https://lichess.org/xBiZzLMA#35,01GHp,FALSE,FALSE,advantage clearance defensiveMove long middlegame,Kh1 Rxf1+ Nxf1 Rf8 Ng3 Re8,0.21,
https://lichess.org/rcwW2M7E#87,01JEA,TRUE,TRUE,advantage middlegame sacrifice veryLong,c5 Rf1+ Kh2 Rxh3+ gxh3 Rf2+ Qg2+ Rxg2+ Kxg2 Qxb3,0.64,
https://lichess.org/7YyhD0TT/black#84,01OkZ,TRUE,TRUE,crushing defensiveMove endgame master quietMove sacrifice veryLong,a5 h5 Ke5 h6 Bc2 Kg4 Bf5+ Kh5 Kxf4 g6,0.61,
https://lichess.org/K1dL3noO#55,01R8j,FALSE,FALSE,crushing deflection endgame long,Qa5 Bd5 Rg1 Bxg2+ Rxg2 Qxa1+,0.17,
https://lichess.org/iIhKzWva#47,01Tpw,FALSE,FALSE,advancedPawn advantage long middlegame,Ka1 b2+ Ka2 Bxd1 Rxd1 c2,0.17,
https://lichess.org/2rdwsQOE#43,01TxI,FALSE,TRUE,clearance crushing long middlegame sacrifice,Qd2 Rxf4 Qxf4 Rf8 Qxf8+ Qxf8,0.25,
https://lichess.org/0damdSJT/black#40,01eC5,FALSE,FALSE,advantage fork long middlegame,Rad8 Bxc4+ bxc4 Qd5+ Kh7 Qxc6,0.16,
https://lichess.org/4FlpqYQT/black#58,01gep,FALSE,FALSE,advantage fork middlegame veryLong,Nxa2 Nf6+ Rxf6 gxf6 Nac3 Rg1+ Kh8 Rg7,0.24,
https://lichess.org/14MuiCrV#67,01iLZ,FALSE,FALSE,attraction crushing discoveredAttack endgame long,Rc3 Rh1+ Kxh1 Bxd5+ Kh2 Rxc3,0.16,
https://lichess.org/2ku2FXte#55,01iy8,FALSE,FALSE,long mate mateIn3 middlegame,Rb3 Bf3 Rg1 Bxg2+ Rxg2 Qxg2#,0.15,
https://lichess.org/37LQpc1O/black#40,01lAW,FALSE,TRUE,crushing exposedKing fork middlegame sacrifice veryLong,Qd7 Nd6+ Nxd6 exd6 Bxd4+ Qxd4 cxd4 Rae1+ Qe6 Rxe6+,0.05,
https://lichess.org/YtQdfMJp/black#56,01xkD,TRUE,TRUE,attraction crushing endgame long pin sacrifice,Rac8 Rxc3 Rxc3 Bb2 Kf8 Bxc3,0.59,
https://lichess.org/kqsxsmSq#51,025B9,FALSE,FALSE,crushing discoveredAttack endgame long,Qxa6 Ne2+ Kb1 Nc3+ bxc3 Qxd1+,0.13,
https://lichess.org/AantwQbU/black#72,026QC,TRUE,TRUE,crushing endgame long sacrifice,Rc7 a4+ Kxb4 Qe1+ Qc3 bxc3+,0.67,
https://lichess.org/VlNqe98k#95,02Fwp,TRUE,TRUE,advancedPawn crushing endgame long promotion sacrifice,Rb8 d3 Rxc8 d2 Qb3 d1=Q+,0.83,
https://lichess.org/BXTsRpDm/black#26,02Inh,FALSE,FALSE,attraction crushing discoveredAttack long middlegame,Bxd5 Qb5+ Bc6 Rxd8+ Kxd8 Qb8+,0.34,
https://lichess.org/n1mQcQwR#39,02Lda,TRUE,TRUE,advantage discoveredAttack kingsideAttack middlegame sacrifice veryLong,Kg1 Rxe5 Qxe5 Nf3+ gxf3 Bxf2+ Kxf2 Qxe5,0.64,
https://lichess.org/FQeb6mVH/black#36,02Qwi,FALSE,TRUE,advantage deflection kingsideAttack middlegame sacrifice veryLong,Ba6 Rxd7 Qxd7 Qe4 g6 Bxf7+ Rxf7 Qxa8+,0.48,
https://lichess.org/alSuOmEu#15,09DMC,FALSE,TRUE,attackingF2F7 crushing opening sacrifice veryLong,Bxd8 Bxf2+ Ke2 Bg4+ Kd3 Ne5+ Kxe4 f5+ Kd5 Rxd8,0.08,
https://lichess.org/bVkr9iOP/black#50,09uTb,FALSE,TRUE,advantage defensiveMove long middlegame sacrifice,Bxd4 Bxd4 Qxb5 Qe3 Qe8 Bf6,0.08,
https://lichess.org/Lu7sE015#69,0HdH1,FALSE,TRUE,attraction mate mateIn5 middlegame sacrifice veryLong,fxg3 Qxe3+ Kg2 Rf2+ Kh3 Rxh2+ Kxh2 Qxg3+ Kh1 Qh2#,0.07,
