url,id,prediction,actual,themse,moves,probability,
https://lichess.org/n9vCFmKh/black#72,003eP,TRUE,TRUE,crushing exposedKing long middlegame skewer,Kg8 Rh8+ Kf7 Rh7+ Ke8 Rxe7+,0.86,1
https://lichess.org/1NlzMdB5/black#80,00bQA,TRUE,TRUE,crushing exposedKing master middlegame pin skewer veryLong,Ne7 Rxe7+ Kf6 Rxg6+ Kxe7 Rxc6 Kd7 Rc5,0.68,
https://lichess.org/hpYXRUS4/black#48,00fN7,FALSE,FALSE,advantage fork middlegame veryLong,Rf2 Rf8+ Ke7 Re8+ Kd6 Bxe4 Rxb2 Kxb2,0.14,
https://lichess.org/3goHO8hu#67,01Z1w,TRUE,TRUE,crushing endgame skewer veryLong,Kxh3 Qf1+ Kh4 Rh8+ Kg5 Rh5+ Kf4 Rxe5,0.63,
https://lichess.org/Jz8c5wYb/black#88,01rGW,FALSE,TRUE,advantage deflection endgame long skewer,Rc5 Rg7+ Kf5 Bh7+ Ke6 Bxe4,0.25,
https://lichess.org/KwnoXvA2/black#70,02VMR,FALSE,TRUE,advantage endgame long sacrifice skewer,Kc7 Rxg6 hxg6 Be5+ Kd7 Bxb8,0.35,
https://lichess.org/j6cr9Itz/black#60,02ViO,FALSE,FALSE,crushing endgame long,d5 Rg4+ Kf8 Qc5+ Ke8 Rg8+,0.13,
https://lichess.org/y3EVfN91/black#66,02WUJ,TRUE,TRUE,advantage endgame long skewer,Bxe3 Bf8+ Kg5 Be7+ Kg4 Bxh4,0.74,
https://lichess.org/qZp4t5tw/black#62,02dIM,FALSE,FALSE,attraction long master mate mateIn3 middlegame sacrifice,Rb8 Qg7+ Kxg7 Rh7+ Kf8 Rxf7#,0.11,
https://lichess.org/A4fUdHcm#81,02meJ,FALSE,TRUE,crushing endgame master skewer veryLong,c6 Bh3+ Kxf3 Bxd7 cxd7 Ke7 d8=R Kxd8,0.21,
https://lichess.org/dcnlxh65#29,02soR,FALSE,FALSE,attraction crushing fork long middlegame sacrifice,Kb1 Bxa2+ Kxa2 Qa5+ Kb1 Qxe1+,0.13,
https://lichess.org/zfCrg7lc#55,038JP,FALSE,TRUE,deflection discoveredAttack endgame equality long skewer,b3 Qg5 Qd2 Ne2+ Qxe2 Qxc1+,0.09,
https://lichess.org/rI8Lnrtk#79,03fz5,TRUE,TRUE,advantage middlegame sacrifice skewer veryLong,Ne4 Rxe4 Qxe4 Bf5 Qc4 Bxc2 Qxc2 Qxd5,0.79,
https://lichess.org/6VJTmQz4/black#46,03tkj,FALSE,FALSE,advantage deflection middlegame pin veryLong,Ra7 Bg5 Qf8 Bxf6 Qxf6 e5 dxe5 Qxc5,0.2,
https://lichess.org/a4P4aO95/black#54,03uRJ,FALSE,FALSE,endgame exposedKing long mate mateIn3 rookEndgame,fxe4 Rg6+ Kf7 Rh7+ Ke8 Re6#,0.12,
https://lichess.org/Vyc76Cnd/black#78,04HVI,TRUE,TRUE,advantage endgame long rookEndgame skewer,Rg6 R4f7+ Kd6 Rd8+ Kc6 Rxd2,0.83,
https://lichess.org/cMKqbSbn/black#42,04NbB,FALSE,TRUE,crushing middlegame skewer veryLong,Be6 Rxe6 Bxh2+ Kxh2 Qxe6 Qh8+ Ke7 Qxa8,0.2,
https://lichess.org/HzZ5XjzK/black#74,04uxm,FALSE,FALSE,advancedPawn crushing endgame exposedKing promotion queenRookEndgame sacrifice veryLong,Kc7 Qb7+ Kd6 Qd7+ Kc5 Qxd1 Rxd1 c7 Rd6 c8=Q+,0.11,
https://lichess.org/tMMD4lGi#55,058i4,TRUE,TRUE,advantage defensiveMove middlegame skewer veryLong,Qe3 Bf4 Qa7 Bxd2 Qa8+ Kd7 Qxh8 Bxe1 Qd4+ Kc8,0.71,
https://lichess.org/CedhZfnA#59,05Cet,FALSE,FALSE,advantage endgame exposedKing fork long,Ng2 Re2+ Kc3 Rxd3+ Kxd3 Rxg2,0.35,
https://lichess.org/rDkTTb30#73,05CjS,FALSE,FALSE,crushing endgame exposedKing interference rookEndgame veryLong,Rd2 Ra3+ Kc2 Rxa2+ Kd1 Rxd2+ Kxd2 Kd5,0.3,
https://lichess.org/i3qWCOHZ#103,05lEx,TRUE,TRUE,crushing endgame hangingPiece rookEndgame skewer veryLong,Kh5 Kxe5 h7 Ke6 Kh6 Kf7 h8=Q Rh1+ Kg5 Rxh8,0.65,
https://lichess.org/bg6meZd6/black#28,06f2z,FALSE,TRUE,advantage defensiveMove middlegame skewer veryLong,Bb7 b4 Qc6 Bf3 Qc4 Bxb7 Rab8 Bf3,0.23,
https://lichess.org/8endYa0H#103,0738O,TRUE,TRUE,advantage endgame exposedKing quietMove rookEndgame skewer veryLong,f4 Rg3 Rxa2 Rg1+ Ke2 Rg2+ Kf3 Rxa2,0.66,
https://lichess.org/CkduJhCU#33,07ECu,TRUE,TRUE,attraction crushing deflection doubleCheck long middlegame skewer,Kg2 Bxf3+ Kxf3 Qh5+ Kg3 Qxe2,0.74,
https://lichess.org/m7vLK1MP#67,07Yag,FALSE,TRUE,attraction crushing endgame skewer veryLong,Kf1 Rh1+ Ke2 Rxe1+ Kxe1 Rh1+ Kd2 Rxb1,0.29,
https://lichess.org/AlBh6DUH/black#90,07oPk,FALSE,FALSE,advantage endgame fork long,Kf5 g4+ Ke6 Qb6+ Kd5 Qxe3,0.2,
https://lichess.org/gBNgbPl9/black#108,086as,FALSE,FALSE,advancedPawn crushing endgame quietMove rookEndgame veryLong,Ke2 h7 Ra8 Rxc2+ Kd3 Rh2 Ke3 Rh3+ f3 Kg4,0.17,
https://lichess.org/HXFkSzMo/black#52,08ANJ,FALSE,FALSE,crushing deflection long middlegame pin,Ra8 dxc6+ Nxc6 Rxb5+ Kc7 Rxa8,0.25,
https://lichess.org/MBwme3Ot/black#42,08Cyd,FALSE,TRUE,clearance crushing kingsideAttack middlegame pin skewer veryLong,b3 Qxh7+ Kf7 Rh6 Ke8 Qg6+ Rf7 Rh8+ Kd7 Rxd8+,0.02,
https://lichess.org/4jVADe3G/black#42,08LZy,TRUE,TRUE,advantage long middlegame quietMove skewer,Qb4 Bf4 Kd8 Qb8+ Ke7 Qxg8,0.77,
